Chapter,Total Chapter Size,New Member Class Size,Total Chapter GPA,New Member GPA,Total Service Hours,Average Hours Per Member,Charitable Donations,Annual Report Score,Star Ranking,Chapter Type,Semester,simulated_dates
Mu Beta Psi,26,,3.221,3.033,384.75,14.8,1791.74,68,0,Professional Fraternity Council,S17,1/1/2017
Phi Alpha Delta,28,,3.552,3.669,255.75,9.1,3373,70,2,Professional Fraternity Council,S17,1/1/2017
Phi Chi Theta,69,,3.397,3.47,958.25,13.9,28741.52,83,3,Professional Fraternity Council,S17,1/1/2017
Phi Delta Chi,81,,3.138,3.135,689.5,8.5,,81,3,Professional Fraternity Council,S17,1/1/2017
Phi Delta Epsilon,81,,3.592,3.634,799.5,9.9,1435.98,93,4,Professional Fraternity Council,S17,1/1/2017
Theta Tau,64,,3.309,3.252,611,9.5,11286.82,71,2,Professional Fraternity Council,S17,1/1/2017
Phi Sigma Pi,36,,3.615,3.608,547,15.2,,91,4,Professional Fraternity Council,S17,1/1/2017
Iota Phi Theta,13,,3.173,2.875,97.5,7.5,0,62,0,Multicultural Greek Council,S17,1/1/2017
Lambda Kappa Sigma,26,,3.069,3.443,390.3,15,8506.27,95,4,Professional Fraternity Council,S17,1/1/2017
Omega Phi Alpha,88,,3.32,3.186,1658,18.8,24011.77,81,3,Panhellenic Council,S17,1/1/2017
Phi Sigma Rho,37,,3.119,2.696,664.5,18,5228.29,92,4,Professional Fraternity Council,S17,1/1/2017
Delta Gamma,144,,3.355,3.345,770,5.3,43163.98,85,3,Panhellenic Council,S17,1/1/2017
Gamma Phi Beta,163,,3.308,3.231,1369.5,8.4,38662.34,81,3,Panhellenic Council,S17,1/1/2017
Lambda Sigma Upsilon,8,,2.934,,86,10.8,0,77,2,Multicultural Greek Council,S17,1/1/2017
Lambda Theta Alpha,9,,3.002,2.766,160,17.8,0,90,4,Multicultural Greek Council,S17,1/1/2017
Lambda Theta Phi,12,,2.464,1.68,116,9.7,60,75,2,Multicultural Greek Council,S17,1/1/2017
