Chapter,Total Chapter Size,New Member Class Size,Total Chapter GPA,New Member GPA,Total Service Hours,Average Hours Per Member,Charitable Donations,Annual Report Score,Star Ranking,Chapter Type,Semester,simulated_dates
Chi Psi,88,28,3.586,3.474,0,0,22060,86.36,,Interfraternity Council,S21,1/1/2021
Delta Chi,30,4,3.485,3.421,0,0,782.1,85.23,,Interfraternity Council,S21,1/1/2021
Delta Gamma,108,18,3.622,3.369,545,5,7951,97.73,,Panhellenic Council,S21,1/1/2021
Gamma Phi Beta,138,43,3.704,3.56,762,5.5,10192,86.36,,Panhellenic Council,S21,1/1/2021
Omega Phi Alpha,86,21,3.644,3.622,475,5.5,2706,95.45,,Panhellenic Council,S21,1/1/2021
Phi Mu,124,41,3.734,3.653,18,0.1,10758,81.82,,Panhellenic Council,S21,1/1/2021
Phi Sigma Rho,36,11,3.572,3.566,6,0.2,1879,81.82,,Panhellenic Council,S21,1/1/2021
Phi Sigma Sigma,148,39,3.561,3.482,0,0,28722,80.68,,Panhellenic Council,S21,1/1/2021
Sigma Delta Tau,141,41,3.643,3.578,30,0.2,10946,88.64,,Panhellenic Council,S21,1/1/2021
Alpha Omega Epsilon,65,20,3.781,3.787,0,0,3500,93.18,,Panhellenic Council,S21,1/1/2021
Zeta Tau Alpha,142,52,3.64,3.639,30,0.2,16939,86.36,,Panhellenic Council,S21,1/1/2021
Alpha Delta Phi,19,3,3.524,3.2,21,1.1,27668,93.18,,Interfraternity Council,S21,1/1/2021
Alpha Epsilon Pi,67,19,3.603,3.508,5,0.1,5000,70.45,,Interfraternity Council,S21,1/1/2021
Alpha Kappa Lambda,13,0,3.567,,0,0,0,72.73,,Interfraternity Council,S21,1/1/2021
Alpha Phi Delta,6,0,3.342,,0,0,0,25,,Interfraternity Council,S21,1/1/2021
Alpha Sigma Phi,46,7,3.559,3.61,0,0,2021,86.36,,Interfraternity Council,S21,1/1/2021
Sigma Kappa,43,0,3.535,,0,0,0,,,Panhellenic Council,S21,1/1/2021
Chi Phi,91,16,3.91,3.429,10,0.1,4145,92.05,,Interfraternity Council,S21,1/1/2021
Nu Alpha Phi,8,1,3.318,,0,0,0,84.09,,Multicultural Greek Council,F21,9/1/2021
Omega Phi Chi,3,0,3.078,,0,0,0,77.27,,Multicultural Greek Council,F21,9/1/2021
Phi Beta Sigma,2,0,1.645,,0,0,0,60.23,,Multicultural Greek Council,F21,9/1/2021
Sigma Lambda Beta,4,0,1.441,,0,0,0,54.55,,Multicultural Greek Council,F21,9/1/2021
Sigma Lambda Gamma,4,0,2.277,,51.5,12.9,1815,93.18,,Multicultural Greek Council,F21,9/1/2021
Sigma Lambda Upsilon,5,0,2.25,,24.5,4.9,0,75,,Multicultural Greek Council,F21,9/1/2021
Alpha Zeta,50,7,3.455,3.632,3,0.1,0,97.73,,Professional Fraternity Council,F21,9/1/2021
Zeta Phi Beta,8,0,3.022,,77.9,9.7,0,87.5,,Multicultural Greek Council,F21,9/1/2021
Alpha Phi Omega,51,10,3.449,3.181,801,15.7,85,88.64,,Professional Fraternity Council,F21,9/1/2021
Delta Sigma Pi,58,17,3.499,3.522,0,0,0,81.82,,Professional Fraternity Council,F21,9/1/2021
Lambda Kappa Sigma,41,5,3.503,3.477,356.75,8.7,1126,88.64,,Professional Fraternity Council,F21,9/1/2021
Mu Beta Psi,21,7,3.373,3.452,255,12.1,0,93.18,,Professional Fraternity Council,F21,9/1/2021
Phi Alpha Delta,47,12,3.496,3.419,164,3.5,0,81.82,,Professional Fraternity Council,F21,9/1/2021
Lambda Upsilon Lambda,10,0,2.881,,0,0,0,82.95,,Multicultural Greek Council,F21,9/1/2021
Sigma Psi Zeta,12,4,3.516,3.561,165,13.8,0,90.91,,Multicultural Greek Council,F21,9/1/2021
Lambda Theta Phi,6,0,2.226,,0,0,0,43.18,,Multicultural Greek Council,F21,9/1/2021
Iota Nu Delta,11,0,3.03,,85,7.7,0,81.82,,Multicultural Greek Council,F21,9/1/2021
Lambda Tau Omega,0,2,2.765,2.765,0,,0,,,Multicultural Greek Council,F21,9/1/2021
alpha Kappa Delta Phi,24,2,3.436,3.366,173.5,7.2,0,88.64,,Multicultural Greek Council,F21,9/1/2021
Alpha Phi Alpha,5,4,2.583,3.405,36,7.2,0,81.82,,Multicultural Greek Council,F21,9/1/2021
Chi Upsilon Sigma,7,0,3.148,,50.5,7.2,105,90.91,,Multicultural Greek Council,F21,9/1/2021
Delta Epsilon Psi,12,8,2.826,3.179,0,0,0,31.82,,Multicultural Greek Council,F21,9/1/2021
Delta Kappa Delta,9,1,3.294,,0,0,0,38.64,,Multicultural Greek Council,F21,9/1/2021
Delta Lambda Phi,3,0,3.451,,0,0,0,75,,Multicultural Greek Council,F21,9/1/2021
Delta Phi Omega,18,6,3.189,3.041,0,0,0,97.73,,Multicultural Greek Council,F21,9/1/2021
Delta Sigma Iota,19,10,2.805,2.862,0,0,0,81.82,,Multicultural Greek Council,F21,9/1/2021
Delta Sigma Theta,7,0,3.034,,96,13.7,0,82.95,,Multicultural Greek Council,F21,9/1/2021
Iota Phi Theta,5,0,2.713,,43,8.6,0,55.68,,Multicultural Greek Council,F21,9/1/2021
Kappa Phi Gamma,13,0,3.382,,94,7.2,0,85.23,,Multicultural Greek Council,F21,9/1/2021
Phi Chi Theta,55,12,3.578,3.266,416,7.6,0,95.45,,Professional Fraternity Council,F21,9/1/2021
Kappa Phi Lambda,21,5,3.516,3.523,568,27,1126,97.73,,Multicultural Greek Council,F21,9/1/2021
Lambda Pi Chi,11,0,2.859,,6,0.5,56,84.09,,Multicultural Greek Council,F21,9/1/2021
Lambda Sigma Upsilon,12,0,2.97,,109,9.1,0,88.64,,Multicultural Greek Council,F21,9/1/2021
Lambda Theta Alpha,10,0,2.741,,127,12.7,0,93.18,,Multicultural Greek Council,F21,9/1/2021
Phi Delta Chi,75,19,3.619,3.503,499.5,6.7,0,75,,Professional Fraternity Council,F21,9/1/2021
Phi Kappa Sigma,1,12,2.847,3.039,12,12,65,,,Interfraternity Council,F21,9/1/2021
Phi Sigma Pi,47,12,3.594,3.827,260.5,5.5,305,90.91,,Professional Fraternity Council,F21,9/1/2021
Delta Phi,57,18,3.096,2.679,252,4.4,529,52.27,,Interfraternity Council,F21,9/1/2021
Delta Upsilon,31,9,3.005,2.9,203,6.5,0,69.32,,Interfraternity Council,F21,9/1/2021
Phi Gamma Delta,15,2,3.208,3.016,101.03,6.7,0,54.55,,Interfraternity Council,F21,9/1/2021
Phi Kappa Psi,46,11,3.216,3.302,13.5,0.3,0,93.18,,Interfraternity Council,F21,9/1/2021
Phi Kappa Tau,35,13,2.937,2.369,91,2.6,0,63.64,,Interfraternity Council,F21,9/1/2021
Phi Mu Delta,15,7,3.317,3.044,190,12.7,0,90.91,,Interfraternity Council,F21,9/1/2021
Phi Sigma Kappa,9,3,3.086,2.445,134,14.9,0,70.45,,Interfraternity Council,F21,9/1/2021
Pi Kappa Phi,53,15,2.828,2.788,60,1.1,0,46.59,,Interfraternity Council,F21,9/1/2021
Sigma Alpha Epsilon,39,35,3.003,2.91,0,0,383.87,64.77,,Interfraternity Council,F21,9/1/2021
Sigma Beta Rho,17,0,2.967,,80,4.7,100,84.09,,Interfraternity Council,F21,9/1/2021
Sigma Chi,0,12,3.045,3.045,56,,200,,,Interfraternity Council,F21,9/1/2021
Sigma Pi,12,6,3.165,3.464,91,7.6,0,72.73,,Interfraternity Council,F21,9/1/2021
Theta Chi,71,16,3.053,2.689,567,8,0,54.55,,Interfraternity Council,F21,9/1/2021
Zeta Beta Tau,29,13,3.191,2.946,351,12.1,0,84.09,,Interfraternity Council,F21,9/1/2021
Zeta Psi,22,23,2.88,2.73,0,0,0,77.27,,Interfraternity Council,F21,9/1/2021
Delta Chi,29,14,3.185,2.929,147.5,5.1,35,85.23,,Interfraternity Council,F21,9/1/2021
Chi Psi,60,15,3.321,2.796,225,3.8,0,86.36,,Interfraternity Council,F21,9/1/2021
Phi Delta Epsilon,51,15,3.687,3.575,616,12.1,2930.52,96.59,,Professional Fraternity Council,F21,9/1/2021
Alpha Sigma Phi,27,14,3.28,2.838,41,1.5,463.25,86.36,,Interfraternity Council,F21,9/1/2021
Theta Tau,41,8,3.38,2.971,150,3.7,0,97.73,,Professional Fraternity Council,F21,9/1/2021
Alpha Chi Omega,100,0,3.393,,613.5,6.1,7422.34,100,,Panhellenic Council,F21,9/1/2021
Alpha Gamma Delta,94,8,3.42,2.463,412,4.4,0,88.64,,Panhellenic Council,F21,9/1/2021
Alpha Omega Epsilon,43,20,3.476,3.211,749.5,17.4,407,93.18,,Panhellenic Council,F21,9/1/2021
Chi Phi,75,20,3.02,2.734,306,4.1,0,92.05,,Interfraternity Council,F21,9/1/2021
Gamma Phi Beta,106,0,3.475,,950.5,9,1754,86.36,,Panhellenic Council,F21,9/1/2021
Omega Phi Alpha,58,16,3.556,3.413,1048,18.1,0,95.45,,Panhellenic Council,F21,9/1/2021
Delta Gamma,59,15,3.381,2.882,390.73,6.6,0,97.73,,Panhellenic Council,F21,9/1/2021
Phi Sigma Rho,28,6,3.482,3.429,194,6.9,0,81.82,,Panhellenic Council,F21,9/1/2021
Phi Sigma Sigma,109,0,3.374,,654,6,0,80.68,,Panhellenic Council,F21,9/1/2021
Sigma Delta Tau,64,5,3.555,3.585,698,10.9,0,88.64,,Panhellenic Council,F21,9/1/2021
Zeta Tau Alpha,130,0,3.497,,0,0,8350,86.36,,Panhellenic Council,F21,9/1/2021
Alpha Epsilon Pi,56,9,3.242,2.374,0,0,0,70.45,,Interfraternity Council,F21,9/1/2021
Alpha Kappa Lambda,12,0,2.658,,132,11,500,72.73,,Interfraternity Council,F21,9/1/2021
Alpha Phi Delta,6,2,2.873,1.992,0,0,0,25,,Interfraternity Council,F21,9/1/2021
Phi Mu,91,8,3.452,3.337,192.5,2.1,17534.79,81.82,,Panhellenic Council,F21,9/1/2021
Phi Beta Sigma,1,3,2.289,2.116,0,0,0,28.57,,Multicultural Greek Council,S22,1/1/2022
Sigma Lambda Beta,3,0,1.923,,0,0,0,55.95,,Multicultural Greek Council,S22,1/1/2022
Sigma Lambda Gamma,4,4,2.86,3.465,0,0,0,76.19,,Multicultural Greek Council,S22,1/1/2022
Sigma Lambda Upsilon,5,2,3.268,3.421,52.5,10.5,7808,69.05,,Multicultural Greek Council,S22,1/1/2022
Sigma Psi Zeta,15,6,3.532,3.459,190.5,12.7,650,87.5,,Multicultural Greek Council,S22,1/1/2022
Zeta Phi Beta,7,2,3.196,3.196,0,0,0,47.62,,Multicultural Greek Council,S22,1/1/2022
Phi Delta Chi,93,7,3.393,3.288,0,0,3846.73,74.8,,Professional Fraternity Council,S22,1/1/2022
Alpha Zeta,55,10,3.542,3.572,0,0,9505.18,92.86,,Professional Fraternity Council,S22,1/1/2022
Delta Sigma Pi,65,16,3.491,3.6,0,0,42738.51,82.14,,Professional Fraternity Council,S22,1/1/2022
Lambda Kappa Sigma,41,10,3.267,3.135,329.5,8,2851.9,97.62,,Professional Fraternity Council,S22,1/1/2022
Mu Beta Psi,24,7,3.283,3.732,0,0,1589.77,85.71,,Professional Fraternity Council,S22,1/1/2022
Phi Alpha Delta,44,6,3.518,3.132,108,2.5,1120,77.38,,Professional Fraternity Council,S22,1/1/2022
Phi Chi Theta,63,13,3.504,3.61,482,7.7,4859.06,87.5,,Professional Fraternity Council,S22,1/1/2022
Omega Phi Chi,3,3,2.525,1.828,0,0,0,71.4,,Multicultural Greek Council,S22,1/1/2022
Alpha Phi Omega,55,23,3.432,3.229,69,1.3,8936.47,92.86,,Professional Fraternity Council,S22,1/1/2022
Nu Alpha Phi,7,10,2.837,2.639,0,0,0,60.71,,Multicultural Greek Council,S22,1/1/2022
Iota Phi Theta,5,2,3.011,3.288,45,9,0,72.62,,Multicultural Greek Council,S22,1/1/2022
Lambda Theta Phi,6,3,2.148,2.274,140,23.3,0,71.43,,Multicultural Greek Council,S22,1/1/2022
Phi Delta Epsilon,61,16,3.656,3.581,386,6.3,1550,83.3,,Professional Fraternity Council,S22,1/1/2022
alpha Kappa Delta Phi,20,5,3.268,2.928,113,5.7,353.5,75,,Multicultural Greek Council,S22,1/1/2022
Alpha Phi Alpha,13,5,2.36,1.69,0,0,0,66.25,,Multicultural Greek Council,S22,1/1/2022
Chi Upsilon Sigma,7,2,3.314,3.7,0,0,105,72.62,,Multicultural Greek Council,S22,1/1/2022
Delta Kappa Delta,8,5,3.225,2.928,0,0,0,53.57,,Multicultural Greek Council,S22,1/1/2022
Delta Phi Omega,22,2,3.008,3.241,0,0,0,60.71,,Multicultural Greek Council,S22,1/1/2022
Delta Sigma Iota,25,0,2.473,,0,0,230,60,,Multicultural Greek Council,S22,1/1/2022
Delta Sigma Theta,6,5,3.195,3.54,0,0,0,71.43,,Multicultural Greek Council,S22,1/1/2022
Iota Nu Delta,11,5,3.17,3.72,0,0,0,85,,Multicultural Greek Council,S22,1/1/2022
Kappa Phi Gamma,13,1,3.204,,174,13.4,4646.34,95,,Multicultural Greek Council,S22,1/1/2022
Kappa Phi Lambda,23,5,3.294,3.447,0,0,717,57.14,,Multicultural Greek Council,S22,1/1/2022
Lambda Pi Chi,8,5,3.097,3.121,0,0,0,69.05,,Multicultural Greek Council,S22,1/1/2022
Lambda Sigma Upsilon,11,5,3.117,3.1,178,16.2,0,86.9,,Multicultural Greek Council,S22,1/1/2022
Lambda Tau Omega,2,1,2.473,,0,0,0,,,Multicultural Greek Council,S22,1/1/2022
Lambda Theta Alpha,22,12,3.31,3.258,0,0,0,80.95,,Multicultural Greek Council,S22,1/1/2022
Lambda Upsilon Lambda,10,3,2.919,2.895,132,13.2,0,65.48,,Multicultural Greek Council,S22,1/1/2022
Phi Sigma Pi,47,16,3.663,3.524,0,0,3441,83.3,,Professional Fraternity Council,S22,1/1/2022
Theta Tau,41,15,3.187,2.908,256,6.2,15315.66,90.48,,Professional Fraternity Council,S22,1/1/2022
Alpha Chi Omega,131,51,3.42,3.487,684,5.2,16732.99,92.86,,Panhellenic Council,S22,1/1/2022
Phi Gamma Delta,17,5,3.019,2.957,143,8.4,2768.98,84.52,,Interfraternity Council,S22,1/1/2022
Phi Kappa Psi,25,1,3.237,2.902,309,12.4,125,80.95,,Interfraternity Council,S22,1/1/2022
Phi Kappa Sigma,10,4,3.051,3.186,0,0,970.94,,,Interfraternity Council,S22,1/1/2022
Phi Kappa Tau,47,7,2.901,2.398,0,0,1000,54.76,,Interfraternity Council,S22,1/1/2022
Zeta Psi,40,0,2.987,,0,0,0,,,Interfraternity Council,S22,1/1/2022
Phi Sigma Kappa,11,11,3.181,3.099,65,5.9,2478.5,86.9,,Interfraternity Council,S22,1/1/2022
Delta Upsilon,35,4,2.978,2.275,0,0,350,64.29,,Interfraternity Council,S22,1/1/2022
Pi Kappa Phi,48,8,2.927,2.935,0,0,0,78.57,,Interfraternity Council,S22,1/1/2022
Sigma Beta Rho,17,3,2.894,2.802,0,0,284.39,69.05,,Interfraternity Council,S22,1/1/2022
Sigma Chi,10,16,3.439,3.512,0,0,125,,,Interfraternity Council,S22,1/1/2022
Sigma Pi,17,5,3.274,2.52,160,9.4,0,83.33,,Interfraternity Council,S22,1/1/2022
Sigma Phi Epsilon,0,30,3.536,3.536,0,,25,,,Interfraternity Council,S22,1/1/2022
Theta Chi,88,19,3.177,3.306,0,0,6585,88.1,,Interfraternity Council,S22,1/1/2022
Zeta Beta Tau,38,10,3.075,2.804,0,0,3090.64,90.48,,Interfraternity Council,S22,1/1/2022
Sigma Alpha Epsilon,60,0,2.929,,20,0.3,4453.5,57.14,,Interfraternity Council,S22,1/1/2022
Delta Phi,57,18,3.134,3.017,0,0,0,80.95,,Interfraternity Council,S22,1/1/2022
Phi Mu Delta,20,3,3.214,3.204,117,5.9,2968.17,90.48,,Interfraternity Council,S22,1/1/2022
Chi Psi,64,16,3.344,3.533,94,1.5,42822.84,95.24,,Interfraternity Council,S22,1/1/2022
Delta Chi,35,8,3.169,2.962,271,7.7,1786.05,90,,Interfraternity Council,S22,1/1/2022
Alpha Omega Epsilon,64,15,3.407,3.445,789.5,12.3,3728.91,85,,Panhellenic Council,S22,1/1/2022
Delta Gamma,97,33,3.377,3.449,202,2.1,23139.99,85.71,,Panhellenic Council,S22,1/1/2022
Gamma Phi Beta,141,49,3.399,3.389,1246.5,8.8,17830,77.38,,Panhellenic Council,S22,1/1/2022
Omega Phi Alpha,77,14,3.532,3.616,18,0.2,7926.58,88.1,,Panhellenic Council,S22,1/1/2022
Phi Mu,137,48,3.378,3.31,0,0,23579.38,88.1,,Panhellenic Council,S22,1/1/2022
Phi Sigma Rho,45,13,3.172,2.814,0,0,2695.32,85.71,,Panhellenic Council,S22,1/1/2022
Alpha Gamma Delta,129,39,3.469,3.465,194,1.5,11104.98,78.57,,Panhellenic Council,S22,1/1/2022
Sigma Delta Tau,137,49,3.398,3.335,1266,9.2,6336,86.9,,Panhellenic Council,S22,1/1/2022
Zeta Tau Alpha,163,39,3.321,3.064,0,0,16382.15,76.19,,Panhellenic Council,S22,1/1/2022
Alpha Epsilon Pi,81,20,3.3,3.322,0,0,476,,,Interfraternity Council,S22,1/1/2022
Alpha Kappa Lambda,15,4,2.7,2.618,0,0,0,54.76,,Interfraternity Council,S22,1/1/2022
Alpha Phi Delta,7,0,2.843,,0,0,0,80.95,,Interfraternity Council,S22,1/1/2022
Alpha Sigma Phi,38,6,3.11,2.968,0,0,769.16,55.26,,Interfraternity Council,S22,1/1/2022
Chi Phi,89,16,2.917,3.061,569,6.4,5825.5,88.1,,Interfraternity Council,S22,1/1/2022
Phi Sigma Sigma,147,40,3.386,3.373,708,4.8,55278.93,91.67,,Panhellenic Council,S22,1/1/2022
Nu Alpha Phi,7,1,2.921,,54,7.7,0,,,Multicultural Greek Council,F22,9/1/2022
Omega Phi Chi,5,1,2.804,,118,23.6,0,,,Multicultural Greek Council,F22,9/1/2022
Omega Psi Phi,0,2,1.403,1.403,,,,,,Multicultural Greek Council,F22,9/1/2022
Phi Beta Sigma,3,0,2.962,,7,2.3,0,,,Multicultural Greek Council,F22,9/1/2022
Sigma Lambda Gamma,6,0,3.563,,64,10.7,18.76,,,Multicultural Greek Council,F22,9/1/2022
Sigma Lambda Upsilon,2,0,3.187,,5,2.5,0,,,Multicultural Greek Council,F22,9/1/2022
Alpha Zeta,35,4,3.523,3.664,9,0.3,0,,,Professional Fraternity Council,F22,9/1/2022
Zeta Phi Beta,4,3,3.211,3.034,10,2.5,0,,,Multicultural Greek Council,F22,9/1/2022
Alpha Phi Omega,63,17,3.242,3.27,119,1.9,0,,,Professional Fraternity Council,F22,9/1/2022
Delta Sigma Pi,81,18,3.489,3.407,1,0,0,,,Professional Fraternity Council,F22,9/1/2022
Lambda Kappa Sigma,38,6,3.375,3.572,213,5.6,0,,,Professional Fraternity Council,F22,9/1/2022
Mu Beta Psi,22,2,3.553,3.857,351.5,16,0,,,Professional Fraternity Council,F22,9/1/2022
Phi Alpha Delta,37,9,3.496,3.578,90.5,2.4,4,,,Professional Fraternity Council,F22,9/1/2022
Sigma Psi Zeta,18,5,3.475,3.31,28,1.6,0,,,Multicultural Greek Council,F22,9/1/2022
Lambda Upsilon Lambda,9,0,2.542,,0,0,0,,,Multicultural Greek Council,F22,9/1/2022
alpha Kappa Delta Phi,21,5,3.254,2.607,163.6,7.8,744,,,Multicultural Greek Council,F22,9/1/2022
Lambda Theta Alpha,13,0,3.208,,22,1.7,0,,,Multicultural Greek Council,F22,9/1/2022
Phi Chi Theta,67,15,3.534,3.258,117,1.7,0,,,Professional Fraternity Council,F22,9/1/2022
Alpha Phi Alpha,10,0,2.954,,166,16.6,0,,,Multicultural Greek Council,F22,9/1/2022
Chi Upsilon Sigma,3,0,3.207,,93,31,0,,,Multicultural Greek Council,F22,9/1/2022
Delta Kappa Delta,11,3,3.51,,0,0,0,,,Multicultural Greek Council,F22,9/1/2022
Delta Phi Omega,18,0,3.22,,319,17.7,0,,,Multicultural Greek Council,F22,9/1/2022
Delta Sigma Iota,28,7,2.982,2.948,0,0,0,,,Multicultural Greek Council,F22,9/1/2022
Delta Sigma Theta,5,0,3.014,,109.5,21.9,0,,,Multicultural Greek Council,F22,9/1/2022
Iota Nu Delta,21,7,3.363,3.597,0,0,0,,,Multicultural Greek Council,F22,9/1/2022
Iota Phi Theta,4,0,2.561,,4,1,0,,,Multicultural Greek Council,F22,9/1/2022
Kappa Phi Gamma,11,6,3.207,3.118,122,11.1,0,,,Multicultural Greek Council,F22,9/1/2022
Kappa Phi Lambda,23,5,3.346,3.105,201,8.7,0,,,Multicultural Greek Council,F22,9/1/2022
Lambda Alpha Upsilon,0,5,2.983,2.983,,,,,,Multicultural Greek Council,F22,9/1/2022
Lambda Pi Chi,7,0,3.068,,0,0,0,,,Multicultural Greek Council,F22,9/1/2022
Lambda Sigma Upsilon,12,0,3.051,,29,2.4,0,,,Multicultural Greek Council,F22,9/1/2022
Lambda Tau Omega,3,1,2.704,,0,0,0,,,Multicultural Greek Council,F22,9/1/2022
Lambda Theta Phi,7,0,2.946,,169,24.1,0,,,Multicultural Greek Council,F22,9/1/2022
Phi Delta Chi,89,11,3.419,3.076,625,7,1225,,,Professional Fraternity Council,F22,9/1/2022
Chi Phi,86,16,2.989,2.505,152,1.8,,,,Interfraternity Council,F22,9/1/2022
Phi Sigma Pi,52,9,3.617,3.503,99,1.9,89,,,Professional Fraternity Council,F22,9/1/2022
Kappa Sigma,0,43,3.081,3.081,,,,,,Interfraternity Council,F22,9/1/2022
Phi Gamma Delta,14,2,3.479,3.45,31,2.2,0,,,Interfraternity Council,F22,9/1/2022
Phi Kappa Psi,28,10,3.157,3.088,337,12,319,,,Interfraternity Council,F22,9/1/2022
Phi Kappa Tau,40,10,3.081,2.894,40,1,0,,,Interfraternity Council,F22,9/1/2022
Phi Mu Delta,25,12,3.278,3.269,317,12.7,536,,,Interfraternity Council,F22,9/1/2022
Pi Kappa Phi,52,13,2.968,2.75,497,9.6,402,,,Interfraternity Council,F22,9/1/2022
Delta Upsilon,25,6,2.911,3.17,26,1,0,,,Interfraternity Council,F22,9/1/2022
Sigma Alpha Epsilon,58,11,3.044,2.804,0,0,0,,,Interfraternity Council,F22,9/1/2022
Sigma Chi,44,19,3.156,3.083,26,0.6,0,,,Interfraternity Council,F22,9/1/2022
Sigma Phi Epsilon,29,9,3.278,3.179,5,0.2,0,,,Interfraternity Council,F22,9/1/2022
Sigma Pi,16,2,3.286,3.65,26,1.6,0,,,Interfraternity Council,F22,9/1/2022
Zeta Beta Tau,39,8,3.344,2.958,29,0.7,0,,,Interfraternity Council,F22,9/1/2022
Zeta Psi,39,0,2.966,,0,0,0,,,Interfraternity Council,F22,9/1/2022
Phi Delta Epsilon,66,11,3.638,3.327,85,1.3,0,,,Professional Fraternity Council,F22,9/1/2022
Sigma Beta Rho,13,6,2.667,2.657,73,5.6,47,,,Interfraternity Council,F22,9/1/2022
Delta Phi,87,12,3.221,3.115,0,0,0,,,Interfraternity Council,F22,9/1/2022
Phi Sigma Kappa,22,5,3.2,2.842,327,14.9,280,,,Interfraternity Council,F22,9/1/2022
Chi Psi,73,10,3.223,2.826,1024.5,14,0,,,Interfraternity Council,F22,9/1/2022
Delta Chi,39,4,3.272,2.818,122.5,3.1,0,,,Interfraternity Council,F22,9/1/2022
Alpha Chi Omega,97,18,3.405,3.142,1049,10.8,5765.46,,,Panhellenic Council,F22,9/1/2022
Alpha Gamma Delta,100,16,3.407,3.258,800.5,8,1950,,,Panhellenic Council,F22,9/1/2022
Alpha Omega Epsilon,29,5,3.326,3.228,199.5,6.9,0,,,Panhellenic Council,F22,9/1/2022
Delta Gamma,74,8,3.431,3.67,644.5,8.7,192,,,Panhellenic Council,F22,9/1/2022
Omega Phi Alpha,63,21,3.546,3.584,89,1.4,0,,,Panhellenic Council,F22,9/1/2022
Phi Mu,104,0,3.378,,83,0.8,0,,,Panhellenic Council,F22,9/1/2022
Gamma Phi Beta,104,0,3.409,,462,4.4,2905,,,Panhellenic Council,F22,9/1/2022
Theta Tau,58,12,3.206,3.049,69,1.2,0,,,Professional Fraternity Council,F22,9/1/2022
Phi Sigma Sigma,100,11,3.447,3.259,553,5.5,1244.69,,,Panhellenic Council,F22,9/1/2022
Sigma Delta Tau,105,7,3.389,2.693,1539,14.7,0,,,Panhellenic Council,F22,9/1/2022
Zeta Tau Alpha,109,12,3.336,2.597,888,8.1,15503,,,Panhellenic Council,F22,9/1/2022
Alpha Kappa Lambda,12,1,2.968,,16,1.3,0,,,Interfraternity Council,F22,9/1/2022
Alpha Phi Delta,9,0,2.768,,0,0,0,,,Interfraternity Council,F22,9/1/2022
Alpha Sigma Phi,34,4,3.184,2.731,25,0.7,0,,,Interfraternity Council,F22,9/1/2022
Phi Sigma Rho,30,6,3.272,3.131,133,4.4,0,,,Panhellenic Council,F22,9/1/2022
Sigma Lambda Gamma,7,1,3.005,3.625,103,15,12.53,70.95,1,Multicultural Greek Council,S23,1/1/2023
Omega Phi Beta,0,5,2.975,2.975,0,0,0,,,Multicultural Greek Council,S23,1/1/2023
Omega Phi Chi,4,0,2.251,,91,23,745.11,78.38,2,Multicultural Greek Council,S23,1/1/2023
Omega Psi Phi,2,0,1.875,,0,0,20,,,Multicultural Greek Council,S23,1/1/2023
Phi Beta Sigma,5,1,2.761,2.571,0,0,15,83.78,2,Multicultural Greek Council,S23,1/1/2023
Sigma Lambda Upsilon,3,1,3.378,3,4.5,2,0,54.73,0,Multicultural Greek Council,S23,1/1/2023
Mu Beta Psi,19,2,3.531,2.981,266,14,1009.4,81.76,2,Professional Fraternity Council,S23,1/1/2023
Sigma Sigma Rho,0,5,3.122,3.122,0,0,0,,,Multicultural Greek Council,S23,1/1/2023
Zeta Phi Beta,7,0,3.468,,2,0.3,1500,81.76,2,Multicultural Greek Council,S23,1/1/2023
Alpha Phi Omega,69,15,3.342,3.437,5558,81,7586.13,70.27,1,Professional Fraternity Council,S23,1/1/2023
Alpha Zeta,58,22,3.479,3.411,292,5,4582.44,80.41,2,Professional Fraternity Council,S23,1/1/2023
Delta Sigma Pi,90,15,3.562,3.689,272,3,10763.82,54.05,0,Professional Fraternity Council,S23,1/1/2023
Lambda Kappa Sigma,50,5,3.366,3.647,355,7,4436.76,91.22,3,Professional Fraternity Council,S23,1/1/2023
Nu Alpha Phi,10,5,2.713,2.65,30,3,0,91.22,3,Multicultural Greek Council,S23,1/1/2023
Sigma Psi Zeta,18,4,3.511,3.395,143,8,910.33,75.68,2,Multicultural Greek Council,S23,1/1/2023
Lambda Upsilon Lambda,13,6,2.86,2.968,4,0.3,0,68.92,0,Multicultural Greek Council,S23,1/1/2023
Alpha Phi Alpha,12,2,2.868,2.859,36,3,0,90.54,3,Multicultural Greek Council,S23,1/1/2023
Lambda Theta Alpha,12,0,3.17,,362,30,1955,79.73,2,Multicultural Greek Council,S23,1/1/2023
Phi Alpha Delta,43,14,3.664,3.795,145.5,3,50,72.97,1,Professional Fraternity Council,S23,1/1/2023
Chi Upsilon Sigma,5,2,3.489,3.388,35,7,105,77.03,2,Multicultural Greek Council,S23,1/1/2023
Delta Kappa Delta,11,1,3.316,3.875,249,23,0,79.73,2,Multicultural Greek Council,S23,1/1/2023
Delta Phi Omega,22,4,3.115,3.234,0,0,600,77.7,2,Multicultural Greek Council,S23,1/1/2023
Delta Sigma Iota,40,13,2.769,2.618,0,0,50,52.7,0,Multicultural Greek Council,S23,1/1/2023
Delta Sigma Theta,16,11,3.2,3.232,89,6,475,97.3,4,Multicultural Greek Council,S23,1/1/2023
Iota Nu Delta,27,8,3.228,2.987,0,0,0,51.35,0,Multicultural Greek Council,S23,1/1/2023
